,Measure Name,Score
49384,MRSA Bacteremia: Observed Cases,16
49390,Clostridium Difficile (C.Diff): Observed Cases,71
49396,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
49402,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
49408,SSI - Colon Surgery: Observed Cases,0
49414,SSI - Abdominal Hysterectomy: Observed Cases,2
49420,MRSA Bacteremia: Observed Cases,0
49426,Clostridium Difficile (C.Diff): Observed Cases,6
49432,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,5
49438,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
49444,SSI - Colon Surgery: Observed Cases,0
49450,SSI - Abdominal Hysterectomy: Observed Cases,0
49456,MRSA Bacteremia: Observed Cases,2
49462,Clostridium Difficile (C.Diff): Observed Cases,11
49468,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,7
49474,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
49480,SSI - Colon Surgery: Observed Cases,6
49486,SSI - Abdominal Hysterectomy: Observed Cases,0
49492,MRSA Bacteremia: Observed Cases,9
49498,Clostridium Difficile (C.Diff): Observed Cases,15
49504,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,9
49510,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,6
49516,SSI - Colon Surgery: Observed Cases,1
49522,SSI - Abdominal Hysterectomy: Observed Cases,2
49528,MRSA Bacteremia: Observed Cases,1
49534,Clostridium Difficile (C.Diff): Observed Cases,22
49540,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
49546,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
49564,MRSA Bacteremia: Observed Cases,0
49570,Clostridium Difficile (C.Diff): Observed Cases,1
49576,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
49582,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
49588,SSI - Colon Surgery: Observed Cases,0
49594,SSI - Abdominal Hysterectomy: Observed Cases,0
49600,MRSA Bacteremia: Observed Cases,0
49606,Clostridium Difficile (C.Diff): Observed Cases,3
49612,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,7
49618,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,8
49624,SSI - Colon Surgery: Observed Cases,0
49630,SSI - Abdominal Hysterectomy: Observed Cases,0
49636,MRSA Bacteremia: Observed Cases,2
49642,Clostridium Difficile (C.Diff): Observed Cases,27
49648,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
49654,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
49660,SSI - Colon Surgery: Observed Cases,0
49666,SSI - Abdominal Hysterectomy: Observed Cases,0
49672,MRSA Bacteremia: Observed Cases,0
49678,Clostridium Difficile (C.Diff): Observed Cases,0
49684,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
49690,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
49708,MRSA Bacteremia: Observed Cases,0
49714,Clostridium Difficile (C.Diff): Observed Cases,1
49720,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
49726,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
49732,SSI - Colon Surgery: Observed Cases,0
49738,SSI - Abdominal Hysterectomy: Observed Cases,0
49744,MRSA Bacteremia: Observed Cases,0
49750,Clostridium Difficile (C.Diff): Observed Cases,3
49756,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,11
49762,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,9
49768,SSI - Colon Surgery: Observed Cases,0
49774,SSI - Abdominal Hysterectomy: Observed Cases,0
49780,MRSA Bacteremia: Observed Cases,7
49786,Clostridium Difficile (C.Diff): Observed Cases,25
49792,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
49798,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
49804,SSI - Colon Surgery: Observed Cases,3
49810,SSI - Abdominal Hysterectomy: Observed Cases,0
49816,MRSA Bacteremia: Observed Cases,0
49822,Clostridium Difficile (C.Diff): Observed Cases,26
49828,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
49834,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,8
49840,SSI - Colon Surgery: Observed Cases,2
49846,SSI - Abdominal Hysterectomy: Observed Cases,0
49852,MRSA Bacteremia: Observed Cases,5
49858,Clostridium Difficile (C.Diff): Observed Cases,14
49864,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
49870,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
49876,SSI - Colon Surgery: Observed Cases,2
49882,SSI - Abdominal Hysterectomy: Observed Cases,0
49888,MRSA Bacteremia: Observed Cases,0
49894,Clostridium Difficile (C.Diff): Observed Cases,6
49900,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
49906,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,19
49912,SSI - Colon Surgery: Observed Cases,3
49918,SSI - Abdominal Hysterectomy: Observed Cases,2
49924,MRSA Bacteremia: Observed Cases,1
49930,Clostridium Difficile (C.Diff): Observed Cases,14
49936,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,8
49942,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,8
49948,SSI - Colon Surgery: Observed Cases,1
49954,SSI - Abdominal Hysterectomy: Observed Cases,3
49960,MRSA Bacteremia: Observed Cases,6
49966,Clostridium Difficile (C.Diff): Observed Cases,29
49972,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
49978,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
49984,SSI - Colon Surgery: Observed Cases,1
49990,SSI - Abdominal Hysterectomy: Observed Cases,1
49996,MRSA Bacteremia: Observed Cases,4
50002,Clostridium Difficile (C.Diff): Observed Cases,7
50008,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
50014,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
50020,SSI - Colon Surgery: Observed Cases,0
50026,SSI - Abdominal Hysterectomy: Observed Cases,0
50032,MRSA Bacteremia: Observed Cases,0
50038,Clostridium Difficile (C.Diff): Observed Cases,0
50044,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50050,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50056,SSI - Colon Surgery: Observed Cases,0
50062,SSI - Abdominal Hysterectomy: Observed Cases,0
50068,MRSA Bacteremia: Observed Cases,0
50074,Clostridium Difficile (C.Diff): Observed Cases,0
50080,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50092,SSI - Colon Surgery: Observed Cases,0
50098,SSI - Abdominal Hysterectomy: Observed Cases,2
50104,MRSA Bacteremia: Observed Cases,0
50110,Clostridium Difficile (C.Diff): Observed Cases,0
50116,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
50122,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,7
50128,SSI - Colon Surgery: Observed Cases,0
50134,SSI - Abdominal Hysterectomy: Observed Cases,1
50140,MRSA Bacteremia: Observed Cases,0
50146,Clostridium Difficile (C.Diff): Observed Cases,1
50152,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
50158,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,5
50176,MRSA Bacteremia: Observed Cases,2
50182,Clostridium Difficile (C.Diff): Observed Cases,2
50188,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,6
50194,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
50200,SSI - Colon Surgery: Observed Cases,1
50206,SSI - Abdominal Hysterectomy: Observed Cases,0
50212,MRSA Bacteremia: Observed Cases,2
50218,Clostridium Difficile (C.Diff): Observed Cases,7
50224,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,7
50230,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
50236,SSI - Colon Surgery: Observed Cases,2
50242,SSI - Abdominal Hysterectomy: Observed Cases,1
50248,MRSA Bacteremia: Observed Cases,1
50254,Clostridium Difficile (C.Diff): Observed Cases,4
50284,MRSA Bacteremia: Observed Cases,0
50290,Clostridium Difficile (C.Diff): Observed Cases,0
50296,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
50302,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
50308,SSI - Colon Surgery: Observed Cases,2
50314,SSI - Abdominal Hysterectomy: Observed Cases,3
50320,MRSA Bacteremia: Observed Cases,1
50326,Clostridium Difficile (C.Diff): Observed Cases,3
50332,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,24
50338,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,24
50344,SSI - Colon Surgery: Observed Cases,13
50350,SSI - Abdominal Hysterectomy: Observed Cases,6
50356,MRSA Bacteremia: Observed Cases,3
50362,Clostridium Difficile (C.Diff): Observed Cases,65
50368,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,6
50374,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
50380,SSI - Colon Surgery: Observed Cases,2
50392,MRSA Bacteremia: Observed Cases,2
50398,Clostridium Difficile (C.Diff): Observed Cases,14
50404,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50410,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50428,MRSA Bacteremia: Observed Cases,0
50434,Clostridium Difficile (C.Diff): Observed Cases,1
50464,MRSA Bacteremia: Observed Cases,0
50470,Clostridium Difficile (C.Diff): Observed Cases,0
50500,MRSA Bacteremia: Observed Cases,0
50506,Clostridium Difficile (C.Diff): Observed Cases,0
50512,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,9
50518,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,11
50524,SSI - Colon Surgery: Observed Cases,16
50530,SSI - Abdominal Hysterectomy: Observed Cases,2
50536,MRSA Bacteremia: Observed Cases,4
50542,Clostridium Difficile (C.Diff): Observed Cases,23
50554,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50560,SSI - Colon Surgery: Observed Cases,0
50566,SSI - Abdominal Hysterectomy: Observed Cases,0
50572,MRSA Bacteremia: Observed Cases,0
50578,Clostridium Difficile (C.Diff): Observed Cases,0
50584,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
50590,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
50596,SSI - Colon Surgery: Observed Cases,1
50602,SSI - Abdominal Hysterectomy: Observed Cases,0
50608,MRSA Bacteremia: Observed Cases,2
50614,Clostridium Difficile (C.Diff): Observed Cases,4
50620,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50626,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50632,SSI - Colon Surgery: Observed Cases,0
50638,SSI - Abdominal Hysterectomy: Observed Cases,0
50644,MRSA Bacteremia: Observed Cases,0
50650,Clostridium Difficile (C.Diff): Observed Cases,0
50680,MRSA Bacteremia: Observed Cases,0
50686,Clostridium Difficile (C.Diff): Observed Cases,0
50692,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
50698,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50704,SSI - Colon Surgery: Observed Cases,0
50710,SSI - Abdominal Hysterectomy: Observed Cases,0
50716,MRSA Bacteremia: Observed Cases,0
50722,Clostridium Difficile (C.Diff): Observed Cases,1
50728,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50734,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50740,SSI - Colon Surgery: Observed Cases,0
50746,SSI - Abdominal Hysterectomy: Observed Cases,0
50752,MRSA Bacteremia: Observed Cases,0
50758,Clostridium Difficile (C.Diff): Observed Cases,0
50800,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50806,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50824,MRSA Bacteremia: Observed Cases,0
50830,Clostridium Difficile (C.Diff): Observed Cases,0
50836,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50842,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50848,SSI - Colon Surgery: Observed Cases,0
50854,SSI - Abdominal Hysterectomy: Observed Cases,0
50860,MRSA Bacteremia: Observed Cases,0
50866,Clostridium Difficile (C.Diff): Observed Cases,1
50872,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50878,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50890,SSI - Abdominal Hysterectomy: Observed Cases,0
50896,MRSA Bacteremia: Observed Cases,0
50902,Clostridium Difficile (C.Diff): Observed Cases,0
50932,MRSA Bacteremia: Observed Cases,0
50938,Clostridium Difficile (C.Diff): Observed Cases,0
50944,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50950,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
50968,MRSA Bacteremia: Observed Cases,0
50974,Clostridium Difficile (C.Diff): Observed Cases,1
50980,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
50986,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51004,MRSA Bacteremia: Observed Cases,0
51010,Clostridium Difficile (C.Diff): Observed Cases,0
51016,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51022,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51028,SSI - Colon Surgery: Observed Cases,0
51040,MRSA Bacteremia: Observed Cases,0
51046,Clostridium Difficile (C.Diff): Observed Cases,2
51052,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51058,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51076,MRSA Bacteremia: Observed Cases,0
51082,Clostridium Difficile (C.Diff): Observed Cases,0
51088,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51094,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
51112,MRSA Bacteremia: Observed Cases,0
51118,Clostridium Difficile (C.Diff): Observed Cases,1
51124,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51130,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51148,MRSA Bacteremia: Observed Cases,0
51154,Clostridium Difficile (C.Diff): Observed Cases,0
51160,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51166,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51178,SSI - Abdominal Hysterectomy: Observed Cases,0
51184,MRSA Bacteremia: Observed Cases,0
51190,Clostridium Difficile (C.Diff): Observed Cases,0
51196,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51202,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51214,SSI - Abdominal Hysterectomy: Observed Cases,0
51220,MRSA Bacteremia: Observed Cases,0
51226,Clostridium Difficile (C.Diff): Observed Cases,1
51232,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51238,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51256,MRSA Bacteremia: Observed Cases,0
51262,Clostridium Difficile (C.Diff): Observed Cases,1
51268,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51274,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51292,MRSA Bacteremia: Observed Cases,0
51298,Clostridium Difficile (C.Diff): Observed Cases,0
51304,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51310,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51316,SSI - Colon Surgery: Observed Cases,0
51322,SSI - Abdominal Hysterectomy: Observed Cases,0
51328,MRSA Bacteremia: Observed Cases,0
51334,Clostridium Difficile (C.Diff): Observed Cases,1
51340,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51346,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51352,SSI - Colon Surgery: Observed Cases,0
51364,MRSA Bacteremia: Observed Cases,0
51370,Clostridium Difficile (C.Diff): Observed Cases,0
51376,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51382,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51388,SSI - Colon Surgery: Observed Cases,0
51394,SSI - Abdominal Hysterectomy: Observed Cases,0
51400,MRSA Bacteremia: Observed Cases,0
51406,Clostridium Difficile (C.Diff): Observed Cases,1
51412,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51418,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51436,MRSA Bacteremia: Observed Cases,0
51442,Clostridium Difficile (C.Diff): Observed Cases,0
51448,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51454,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51460,SSI - Colon Surgery: Observed Cases,0
51466,SSI - Abdominal Hysterectomy: Observed Cases,0
51472,MRSA Bacteremia: Observed Cases,0
51478,Clostridium Difficile (C.Diff): Observed Cases,0
51484,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51490,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51496,SSI - Colon Surgery: Observed Cases,0
51508,MRSA Bacteremia: Observed Cases,0
51514,Clostridium Difficile (C.Diff): Observed Cases,0
51544,MRSA Bacteremia: Observed Cases,0
51550,Clostridium Difficile (C.Diff): Observed Cases,0
51556,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51562,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51580,MRSA Bacteremia: Observed Cases,0
51586,Clostridium Difficile (C.Diff): Observed Cases,0
51592,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51598,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
51604,SSI - Colon Surgery: Observed Cases,1
51610,SSI - Abdominal Hysterectomy: Observed Cases,0
51616,MRSA Bacteremia: Observed Cases,0
51622,Clostridium Difficile (C.Diff): Observed Cases,1
51628,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51634,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51640,SSI - Colon Surgery: Observed Cases,0
51646,SSI - Abdominal Hysterectomy: Observed Cases,0
51652,MRSA Bacteremia: Observed Cases,0
51658,Clostridium Difficile (C.Diff): Observed Cases,1
51664,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51670,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51688,MRSA Bacteremia: Observed Cases,0
51694,Clostridium Difficile (C.Diff): Observed Cases,0
51700,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
51706,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51724,MRSA Bacteremia: Observed Cases,1
51730,Clostridium Difficile (C.Diff): Observed Cases,4
51748,SSI - Colon Surgery: Observed Cases,1
51754,SSI - Abdominal Hysterectomy: Observed Cases,0
51760,MRSA Bacteremia: Observed Cases,0
51766,Clostridium Difficile (C.Diff): Observed Cases,0
51772,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51778,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51784,SSI - Colon Surgery: Observed Cases,0
51790,SSI - Abdominal Hysterectomy: Observed Cases,0
51796,MRSA Bacteremia: Observed Cases,0
51802,Clostridium Difficile (C.Diff): Observed Cases,0
51808,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
51814,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51820,SSI - Colon Surgery: Observed Cases,0
51826,SSI - Abdominal Hysterectomy: Observed Cases,0
51832,MRSA Bacteremia: Observed Cases,0
51838,Clostridium Difficile (C.Diff): Observed Cases,0
51844,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51850,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51856,SSI - Colon Surgery: Observed Cases,0
51862,SSI - Abdominal Hysterectomy: Observed Cases,0
51868,MRSA Bacteremia: Observed Cases,0
51874,Clostridium Difficile (C.Diff): Observed Cases,3
51880,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51886,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51892,SSI - Colon Surgery: Observed Cases,0
51898,SSI - Abdominal Hysterectomy: Observed Cases,0
51904,MRSA Bacteremia: Observed Cases,0
51910,Clostridium Difficile (C.Diff): Observed Cases,1
51916,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51922,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
51928,SSI - Colon Surgery: Observed Cases,0
51940,MRSA Bacteremia: Observed Cases,0
51946,Clostridium Difficile (C.Diff): Observed Cases,0
51952,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51958,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
51964,SSI - Colon Surgery: Observed Cases,0
51970,SSI - Abdominal Hysterectomy: Observed Cases,0
51976,MRSA Bacteremia: Observed Cases,0
51982,Clostridium Difficile (C.Diff): Observed Cases,2
51988,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
51994,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
52000,SSI - Colon Surgery: Observed Cases,0
52012,MRSA Bacteremia: Observed Cases,0
52018,Clostridium Difficile (C.Diff): Observed Cases,0
52024,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52030,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52048,MRSA Bacteremia: Observed Cases,0
52054,Clostridium Difficile (C.Diff): Observed Cases,0
52060,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52066,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52072,SSI - Colon Surgery: Observed Cases,0
52084,MRSA Bacteremia: Observed Cases,0
52090,Clostridium Difficile (C.Diff): Observed Cases,1
52096,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52102,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
52108,SSI - Colon Surgery: Observed Cases,1
52120,MRSA Bacteremia: Observed Cases,1
52126,Clostridium Difficile (C.Diff): Observed Cases,0
52132,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52138,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52144,SSI - Colon Surgery: Observed Cases,0
52150,SSI - Abdominal Hysterectomy: Observed Cases,0
52156,MRSA Bacteremia: Observed Cases,0
52162,Clostridium Difficile (C.Diff): Observed Cases,1
52168,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52174,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52192,MRSA Bacteremia: Observed Cases,0
52198,Clostridium Difficile (C.Diff): Observed Cases,0
52204,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52210,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52216,SSI - Colon Surgery: Observed Cases,0
52228,MRSA Bacteremia: Observed Cases,0
52234,Clostridium Difficile (C.Diff): Observed Cases,1
52240,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
52246,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,5
52252,SSI - Colon Surgery: Observed Cases,0
52258,SSI - Abdominal Hysterectomy: Observed Cases,0
52264,MRSA Bacteremia: Observed Cases,2
52270,Clostridium Difficile (C.Diff): Observed Cases,5
52276,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
52282,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
52288,SSI - Colon Surgery: Observed Cases,0
52294,SSI - Abdominal Hysterectomy: Observed Cases,0
52300,MRSA Bacteremia: Observed Cases,2
52306,Clostridium Difficile (C.Diff): Observed Cases,3
52312,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,5
52318,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
52324,SSI - Colon Surgery: Observed Cases,1
52330,SSI - Abdominal Hysterectomy: Observed Cases,0
52336,MRSA Bacteremia: Observed Cases,1
52342,Clostridium Difficile (C.Diff): Observed Cases,6
52348,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
52354,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
52360,SSI - Colon Surgery: Observed Cases,1
52366,SSI - Abdominal Hysterectomy: Observed Cases,0
52372,MRSA Bacteremia: Observed Cases,3
52378,Clostridium Difficile (C.Diff): Observed Cases,16
52384,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52390,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
52402,SSI - Abdominal Hysterectomy: Observed Cases,0
52408,MRSA Bacteremia: Observed Cases,0
52414,Clostridium Difficile (C.Diff): Observed Cases,0
52420,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,6
52426,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,7
52432,SSI - Colon Surgery: Observed Cases,10
52438,SSI - Abdominal Hysterectomy: Observed Cases,1
52444,MRSA Bacteremia: Observed Cases,4
52450,Clostridium Difficile (C.Diff): Observed Cases,12
52456,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
52462,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52492,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
52498,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52504,SSI - Colon Surgery: Observed Cases,0
52516,MRSA Bacteremia: Observed Cases,0
52522,Clostridium Difficile (C.Diff): Observed Cases,2
52528,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
52534,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,3
52540,SSI - Colon Surgery: Observed Cases,0
52546,SSI - Abdominal Hysterectomy: Observed Cases,0
52552,MRSA Bacteremia: Observed Cases,2
52558,Clostridium Difficile (C.Diff): Observed Cases,8
52564,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,3
52570,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,5
52576,SSI - Colon Surgery: Observed Cases,1
52582,SSI - Abdominal Hysterectomy: Observed Cases,0
52588,MRSA Bacteremia: Observed Cases,1
52594,Clostridium Difficile (C.Diff): Observed Cases,20
52600,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
52606,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52636,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,1
52642,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
52648,SSI - Colon Surgery: Observed Cases,3
52654,SSI - Abdominal Hysterectomy: Observed Cases,1
52660,MRSA Bacteremia: Observed Cases,0
52666,Clostridium Difficile (C.Diff): Observed Cases,14
52672,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,30
52678,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,34
52684,SSI - Colon Surgery: Observed Cases,16
52690,SSI - Abdominal Hysterectomy: Observed Cases,3
